companyName,Total_Jobs,Avg_Applications
NCR Atleos,1,25.0
NEC Software Solutions,1,129.0
NEWJ,1,28.0
NEXG2EN CFO LLP,1,96.0
NINO Foods,1,200.0
NSL TEXTILES LIMITED,1,200.0
NTT Ltd.,2,200.0
Natixis Services in India,1,109.0
Naukripay,3,70.33333333333333
Navi,3,137.0
News Corp,1,161.0
Nexensus,1,200.0
Nexus Hire,2,175.5
Nielsen,1,29.0
Nike,1,113.0
Nissan Motor Corporation,1,200.0
Nium,1,200.0
Nomura,1,200.0
Novus Hi-Tech,1,25.0
NuStar Technologies,1,31.0
NxtWave,9,64.55555555555556
Nymble,1,200.0
OM ENGINEERS,1,118.0
ORRA Fine Jewellery,1,25.0
Obelisk Consulting,1,35.0
Ok Lifecare Private Limited,5,25.0
Ola Electric,1,130.0
On2Cook India Pvt Ltd,1,89.0
One Little Farm,1,114.0
OneBanc,1,167.0
OptiRisk India,1,123.0
Optimum Data Analytics,1,200.0
Opus Global Services LLC,1,200.0
Oracle,2,161.0
Others,2,25.0
PERFORMENA,1,48.0
PRATech Global Private Limited,1,200.0
PTS Systems & Solutions Pvt. Ltd.,1,25.0
PTW,1,200.0
PUNO,2,25.0
PW (PhysicsWallah),2,99.5
Paytm,5,200.0
PeopleCert,1,161.0
PepsiCo,5,158.4
Percoyo Private Limited,1,25.0
Philips,1,200.0
PhonePe,2,152.0
Pierian Services,1,25.0
Pine Labs,1,59.0
Piramal Capital & Housing Finance Limited,1,25.0
Pixelvide,1,54.0
Planify Capital Limited,1,79.0
PloPdo,1,25.0
Plofold Technologies Pvt. Ltd.,1,25.0
Porter,1,50.0
Precision Medicine Group,1,200.0
Procter & Gamble,6,142.0
Publicis Sapient,1,200.0
PyjamaHR,1,28.0
Qrata,1,110.0
Qualcomm,1,200.0
Quantified HR Private Limited,1,25.0
Quantiphi,1,66.0
Quantzig,5,135.0
QuinStreet,1,195.0
Qween Network LLP,1,25.0
Rabatex Industries,1,200.0
Rabin's Photography,1,25.0
Radio Holland,1,200.0
Radius,1,200.0
Raga Designers,1,144.0
Ramyoz,1,25.0
Razorpay,2,200.0
Reach Skyline,1,25.0
Rebel Foods,1,86.0
Recykal.com,1,131.0
Redrob by McKinley Rice,3,26.333333333333332
Redrock Capital Advisors Private Limited,1,200.0
Reliance Industries Limited,1,162.0
Ridhira Living -  Building world's largest chain of Wellness Themed Resort Living Communities,1,93.0
RipplesIndia Group,1,132.0
Risk Resources LLC,1,28.0
Rysyl,1,113.0
SIS India Ltd,1,200.0
SKF India,1,87.0
SK·VISION,1,25.0
SLB,1,96.0
SUGAR Cosmetics,2,200.0
SUMISO,1,87.0
SUN PHARMA,1,50.0
SWASTIK PLACEMENT AGENCY,1,58.0
Saffron String,1,54.0
Saint-Gobain Group in India,1,54.0
Sanofi,1,36.0
Sapphire Foods India Limited,1,200.0
Sarda Group,1,111.0
Sartorius,1,112.0
Saviant Consulting,1,200.0
Schbang,2,147.0
Schwing Stetter India,1,25.0
Sheetal Jewellery House LLP,1,75.0
Shree Balaji Agora Mall,1,25.0
Siemens,1,74.0
Siemens Gamesa,1,85.0
Simpl,2,188.0
Smytten,1,77.0
Social Donut,1,25.0
SocialPilot,1,200.0
Soho Square Solutions,1,200.0
Soroco,1,121.0
SourceGrids,1,25.0
Spektra Systems,1,25.0
Spencer's Retail,1,124.0
Spinny,1,200.0
Sprinklr,2,200.0
Straive,1,200.0
Suganda Skincare,1,46.0
Sumago Infotech Pvt. Ltd.,1,92.0
Super Scholar,1,25.0
Sutherland,1,200.0
Swiggy,3,95.33333333333333
SwopStore,1,25.0
Syndigo,1,200.0
System Soft Technologies,1,200.0
T-Hub,1,200.0
TAC Security,1,56.0
TASConnect,1,200.0
TELUS International AI Data Solutions,1,200.0
THire Global Services,1,36.0
TMRW House of Brands,2,59.5
TRACTEBEL,1,200.0
TRUST,1,200.0
TTK Prestige Ltd,1,200.0
Talent Corner HR Services Pvt Ltd,3,173.66666666666666
Talent Giants Consultancy Services,1,25.0
Talent Socio(We're Hiring!!),1,200.0
TalentAhead India Pvt. Ltd.,1,200.0
Tamcherry - Zaportiv,1,25.0
Tata CLiQ,1,200.0
Tata Communications,1,200.0
Tata Consultancy Services,4,130.0
Tata Consumer Products,3,182.0
Tata Cummins,20,65.8
Tata Elxsi,1,200.0
Tata Technologies,10,130.8
TeOra,1,174.0
Teamware Solutions a division of Quantum Leap Consulting Pvt. Ltd,1,179.0
Tech Mahindra,2,152.0
Technip Energies,1,70.0
Tejoo Fashions,1,25.0
Telamon HR Solutions,1,102.0
Teqto Infotech,1,78.0
Teradata,1,200.0
Teralanx Solutions,1,95.0
Tesco Bengaluru,3,141.0
Tessolve,1,200.0
Texas Instruments,1,200.0
Texmo Industries,1,66.0
The Aroma Trace,1,117.0
The Bombay Digital Company,2,191.5
The Fashion Cosmo,1,47.0
The Leaders Hive,1,67.0
The Luxury Closet,1,200.0
The Retail Jeweller India,2,108.0
The Viral Fever,1,200.0
Thena,1,200.0
Thimblerr,1,54.0
Thirdbase,1,122.0
Tide,1,76.0
Tietoevry,1,200.0
Times And Trends Academy,1,200.0
Times Internet,1,146.0
Tiny Dot Foods,1,25.0
Tira,2,200.0
Tradenfill,2,188.0
Transmission,1,200.0
Traveloka,1,117.0
Treebo Hotels,1,96.0
True Tech Professionals,1,87.0
TrueBlue Inc.,1,137.0
Truecaller,1,154.0
Turvo Inc.,1,70.0
Twenty20 Systems,1,200.0
Typeface,1,96.0
UEIBI,1,94.0
UNISON INTERNATIONAL CONSULTING (The Recruitment Company),2,200.0
UST,1,79.0
Uber,1,200.0
Ucal Polymer Industries Ltd,1,25.0
UltraTech Cement,2,172.5
Unacademy,2,200.0
Unicorn Tech Media,1,25.0
Unilever,1,77.0
Unitile,1,91.0
UprightHC Solutions Private Limited,1,200.0
Upstox,4,95.0
Urban Company,1,147.0
Utkarsh Small Finance Bank,1,137.0
VMock,1,109.0
VOE ACADEMY,1,25.0
ValGenesis,3,47.0
Valeo,9,176.33333333333334
Vardhman Tube Mills,1,200.0
Varel Energy Solutions,1,25.0
Vasitum,1,25.0
Vendasta,1,25.0
VerSe Innovation,1,104.0
Vertex Group,1,200.0
ViewSonic,1,34.0
Vijay Tanks & Vessels (P) Ltd.,1,186.0
Vijaya Enterprises,5,38.6
Vimerse InfoTech Inc,1,187.0
Virtusa,1,95.0
Visa,1,137.0
Visanswer,9,71.88888888888889
Vista,1,200.0
Vizolt Tech Solutions Pvt Ltd,1,85.0
Votiko,1,72.0
WIN Home Inspection,1,200.0
WPP,1,200.0
WSP,1,41.0
WedMeGood: India's Top Wedding Planning App,2,25.0
Wellness Extract,1,53.0
Welspun World,4,122.0
What's Up Wellness,1,81.0
Whirlpool Corporation,2,200.0
White Cloud Brands,1,50.0
WhiteCrow Research,1,25.0
Willware Technologies,1,200.0
WinZO,1,200.0
Wipro,4,200.0
Wittypen,1,25.0
Workafella,1,188.0
X & Zero,1,25.0
Xerago,1,200.0
Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),1,25.0
Xybion Digital,1,200.0
YO HR Consultancy,4,51.5
YemPover Inc,1,58.0
Yield Engineering Systems,1,200.0
Yugen.ai,1,200.0
Yum! Digital & Tech India,1,200.0
ZF Group,1,81.0
ZOOP.ONE,1,25.0
Zamp,1,200.0
Zee Entertainment Enterprises Limited,1,118.0
